Excused_Absences,Unexcused_Absences,Consecutive_Absences,Missed_Homework_Ratio,Is_Dropout
3,1,0,0.2491,0
1,0,0,0.2309,0
0,1,1,0.2574,0
0,0,0,0.0893,0
2,2,0,0.5539,0
1,1,1,0.45,0
1,0,0,0.1695,1
2,1,2,0.5037,0
0,0,0,0.0755,0
1,1,2,0.4011,1
0,1,1,0.6794,1
0,0,0,0.1902,0
0,0,0,0.0844,0
1,2,0,0.4281,0
0,2,2,0.8715,1
4,0,0,0.3439,0
2,0,0,0.1219,1
0,0,0,0.0678,0
0,4,3,0.9788,1
3,3,3,0.6956,1
0,0,0,0.25,0
0,0,0,0.0259,0
5,1,0,0.1071,0
0,4,2,0.4829,1
1,1,1,0.3528,1
0,5,2,0.8366,1
1,2,3,0.4164,1
4,0,0,0.45,0
3,0,1,0.0717,0
1,0,0,0.1161,0
3,0,0,0.1099,0
2,0,0,0.416,0
4,0,0,0.3256,0
0,4,4,0.6659,1
1,1,1,0.1356,0
2,0,0,0.0846,0
1,5,1,0.7874,1
1,0,0,0.0265,0
0,0,0,0.1324,0
3,1,2,0.3699,0
1,0,0,0.189,0
0,0,0,0.25,0
0,0,0,0.0391,0
2,0,0,0.0534,0
0,1,1,0.55,0
1,1,1,0.4295,0
1,3,3,0.6059,1
1,0,0,0.0226,0
1,3,1,0.4811,1
0,0,0,0.2994,0
4,1,0,0.05,0
5,3,0,0.269,1
1,0,0,0.0251,0
1,2,2,0.4376,1
0,0,0,0.1114,0
1,2,3,0.8479,1
1,0,1,0.1895,0
3,0,0,0.05,0
1,5,5,0.965,1
1,0,0,0.05,0
5,0,0,0.2291,0
0,0,0,0.0454,0
1,1,0,0.45,0
1,0,0,0.1271,0
0,0,0,0.25,0
1,1,0,0.0626,0
1,1,1,0.3362,0
0,0,0,0.4755,0
1,3,0,0.55,0
1,0,0,0.0407,0
0,2,0,0.426,0
3,2,2,0.9606,1
2,2,2,0.8904,1
2,0,1,0.1336,1
1,0,0,0.0302,0
3,0,1,0.2716,0
5,3,2,0.3802,1
0,2,2,0.8345,1
2,1,2,0.661,0
1,4,0,0.4134,0
0,2,0,0.2301,0
2,1,0,0.3186,0
2,1,1,0.1142,0
1,0,0,0.2987,0
1,0,1,0.4031,0
0,0,0,0.0572,0
0,3,2,0.6472,1
1,0,0,0.294,0
3,1,0,0.4429,0
1,5,3,0.8009,1
1,1,0,0.0711,0
0,1,0,0.05,1
2,4,0,0.8345,1
0,2,1,0.2938,1
5,2,1,0.5026,0
2,0,0,0.0889,0
0,5,2,0.8369,1
3,3,2,0.85,1
0,1,0,0.1516,0
1,2,0,0.0523,0
2,3,2,0.6662,1
0,0,0,0.0548,0
4,1,0,0.3865,0
4,1,2,0.4851,0
1,0,0,0.1497,0
3,0,0,0.1115,1
0,3,1,0.3215,0
3,0,0,0.25,0
1,0,0,0.0144,0
2,0,0,0.1908,0
1,2,3,0.8582,1
0,0,0,0.02,0
1,4,2,0.8684,1
1,6,2,0.3805,1
0,0,0,0.1036,0
2,2,2,0.4074,1
0,0,0,0.079,0
1,0,0,0.0287,0
2,2,1,0.55,0
3,2,0,0.1517,0
1,5,2,0.835,1
1,1,2,0.3469,0
5,0,0,0.05,0
1,2,1,0.4891,0
3,0,1,0.1637,0
2,2,1,0.5324,1
0,1,0,0.2561,0
4,0,0,0.2577,0
3,2,0,0.1602,0
1,1,0,0.0981,1
3,2,2,0.6509,1
1,4,0,0.23,1
2,0,1,0.2006,0
2,1,0,0.2921,0
3,0,2,0.2563,0
0,1,0,0.2492,0
0,0,0,0.1771,0
5,0,0,0.1641,0
4,0,1,0.3104,0
1,2,3,0.6056,1
3,1,2,0.5089,1
2,3,1,0.1297,0
0,2,2,0.3791,1
1,5,5,0.8521,1
0,2,1,0.3886,0
1,0,1,0.25,0
3,2,0,0.6704,1
3,4,3,0.3644,1
1,2,1,0.5861,1
1,0,1,0.0292,0
2,1,1,0.5266,1
0,7,2,0.7959,1
2,0,0,0.123,0
1,4,1,0.591,1
0,0,0,0.0773,0
3,1,1,0.2404,0
0,1,0,0.0224,0
1,6,6,0.7923,1
0,2,1,0.2721,0
0,6,4,0.8297,1
4,2,0,0.1344,0
1,1,0,0.2045,0
1,0,0,0.0297,0
0,1,1,0.0894,0
0,2,1,0.1319,0
3,1,2,0.3833,1
0,1,0,0.135,0
0,6,2,0.8761,1
0,3,3,0.85,1
1,0,0,0.1434,0
1,4,2,0.7605,1
3,8,4,0.8857,1
1,1,1,0.1657,0
4,1,0,0.3058,0
0,3,2,0.8801,1
2,2,0,0.0824,0
1,5,3,0.6696,1
1,0,1,0.0898,0
0,0,0,0.0914,0
0,1,0,0.2593,0
0,0,0,0.0663,0
0,2,2,0.8227,1
3,2,0,0.4203,0
3,5,2,0.7418,1
2,0,0,0.0381,0
2,0,0,0.1305,0
0,0,0,0.0491,0
2,2,2,0.5321,1
0,0,0,0.05,0
0,0,0,0.1405,0
1,1,0,0.1283,0
3,1,0,0.45,0
0,2,1,0.4636,0
0,0,0,0.1805,0
2,0,0,0.1639,0
1,6,3,0.6767,1
0,0,0,0.1267,0
2,1,2,0.62,1
2,1,0,0.45,0
0,0,0,0.2125,0
3,0,0,0.0527,0
0,1,1,0.2935,0
0,0,0,0.249,0
1,3,4,0.8712,1
1,1,2,0.507,0
2,2,0,0.3037,0
2,2,4,0.4768,1
0,4,2,0.4251,1
0,0,0,0.1023,0
2,2,2,0.7625,1
0,1,1,0.3013,1
5,0,0,0.1784,0
1,1,1,0.4034,1
2,3,1,0.6015,0
1,0,1,0.2129,0
1,0,0,0.16,0
0,1,0,0.1431,0
1,0,0,0.1719,0
1,1,1,0.1166,1
0,2,0,0.3799,1
1,4,0,0.4881,0
1,1,0,0.1727,0
1,0,1,0.1961,1
1,8,6,0.8036,1
2,2,0,0.1631,0
2,0,1,0.0965,0
0,0,0,0.1604,0
1,1,2,0.6741,1
4,0,0,0.4033,1
0,0,0,0.0375,0
1,2,1,0.0931,1
1,1,0,0.2242,1
0,4,2,0.5148,1
1,0,0,0.1641,0
0,0,0,0.0776,0
3,0,0,0.1103,0
0,0,0,0.0259,0
2,2,0,0.1764,1
1,3,0,0.4057,1
1,0,0,0.4084,0
1,1,1,0.4087,0
5,0,0,0.1758,0
2,3,1,0.4318,0
0,2,1,0.55,0
0,0,0,0.0699,0
0,0,0,0.2328,0
3,0,0,0.3514,0
1,0,0,0.0299,0
2,0,0,0.2725,0
3,4,2,0.4748,1
2,1,0,0.3541,0
0,1,0,0.2138,1
2,0,0,0.0943,0
2,0,0,0.4494,1
1,2,3,0.9526,1
0,2,2,0.985,1
0,1,1,0.4194,1
1,8,3,0.9223,1
2,4,4,0.3056,1
1,4,2,0.8016,1
2,2,0,0.1354,0
3,0,1,0.1993,0
0,0,0,0.25,0
1,2,0,0.1841,0
2,1,0,0.25,0
1,7,3,0.4865,1
0,2,2,0.6206,1
1,4,5,0.7197,1
1,2,3,0.9369,1
0,0,0,0.0474,0
1,2,0,0.1873,0
3,0,1,0.2218,0
2,3,1,0.5429,1
2,0,0,0.2478,0
1,0,0,0.289,0
2,0,0,0.0611,0
0,3,3,0.9437,1
3,0,0,0.45,0
2,1,0,0.05,0
1,0,0,0.0529,0
1,1,2,0.3864,0
5,2,1,0.2559,0
0,0,0,0.063,0
2,2,0,0.394,0
2,0,0,0.2665,0
1,0,1,0.3604,0
1,0,0,0.0359,0
0,4,2,0.9212,1
0,0,0,0.1507,1
0,1,0,0.0939,0
0,5,2,0.8808,1
2,3,5,0.5,1
3,0,0,0.5379,0
2,1,1,0.55,0
1,1,0,0.2257,0
0,4,3,0.5264,1
4,1,0,0.1127,0
2,5,4,0.7014,1
4,1,2,0.6661,1
1,1,0,0.0236,0
0,0,0,0.0381,0
1,0,0,0.3814,0
0,0,0,0.0297,0
3,2,2,0.3201,0
1,8,2,0.945,1
0,0,0,0.211,0
0,1,1,0.1182,0
3,4,0,0.1753,0
1,0,1,0.1941,0
2,0,0,0.1283,0
0,0,0,0.2464,0
0,1,0,0.2878,0
0,1,0,0.1805,0
0,4,1,0.3966,1
0,2,2,0.2148,1
3,2,1,0.6252,1
0,0,0,0.0768,0
0,4,2,0.9722,1
2,1,0,0.3233,0
0,3,0,0.4475,1
1,2,0,0.4422,0
2,0,0,0.1742,1
2,2,3,0.8435,1
3,3,1,0.5562,1
1,2,1,0.3618,0
2,3,1,0.422,1
0,0,0,0.1015,0
0,3,0,0.5776,1
0,3,3,0.6003,1
0,5,3,0.6345,1
2,0,1,0.119,0
1,1,0,0.1082,0
2,1,1,0.1645,0
6,1,1,0.0667,1
2,0,0,0.0858,0
1,2,3,0.7182,1
1,2,1,0.6336,1
0,1,1,0.55,0
1,2,1,0.7696,1
3,0,0,0.3222,0
3,4,1,0.7027,1
3,0,1,0.1216,0
5,0,0,0.3631,1
0,4,1,0.3337,1
0,0,0,0.0327,0
3,0,0,0.2096,1
0,7,2,0.7835,1
1,0,0,0.0473,0
0,1,0,0.55,0
0,0,0,0.1179,0
1,0,1,0.3361,0
0,1,1,0.3602,0
1,1,0,0.0181,0
0,6,4,0.4914,1
2,7,4,0.8295,1
1,0,0,0.1117,0
3,4,5,0.7555,1
1,0,0,0.1884,0
1,2,2,0.8672,1
2,2,0,0.412,0
0,2,2,0.8391,1
2,4,2,0.4471,1
2,0,2,0.2393,0
2,0,0,0.2307,0
1,1,0,0.1188,0
2,1,0,0.3687,0
1,1,0,0.1227,0
3,0,0,0.442,0
3,1,2,0.1097,1
1,1,1,0.3775,0
0,0,0,0.1025,0
0,0,0,0.006,0
1,4,0,0.2377,1
2,1,1,0.3716,0
1,0,0,0.0138,0
0,0,0,0.5353,0
3,1,0,0.2107,0
5,1,2,0.1368,1
0,0,0,0.1531,0
0,2,2,0.3441,1
0,1,0,0.0461,0
2,2,1,0.73,1
2,0,0,0.05,0
1,0,1,0.2258,1
0,0,0,0.0957,0
1,2,1,0.5221,1
0,0,0,0.413,0
3,2,0,0.05,0
1,0,0,0.1212,0
3,0,0,0.0919,0
3,1,1,0.4942,1
0,1,0,0.2535,0
1,0,0,0.1686,0
1,2,0,0.3005,0
2,3,1,0.3669,0
2,0,1,0.2594,0
0,0,0,0.0103,0
0,0,0,0.2099,0
1,1,1,0.2984,0
0,2,2,0.8254,1
3,0,0,0.1556,0
2,2,3,0.9375,1
4,1,1,0.3625,0
0,5,4,0.9583,1
0,2,2,0.9703,1
1,1,0,0.1809,0
1,0,0,0.123,0
0,5,5,0.7268,1
1,0,0,0.45,0
2,1,1,0.7168,1
0,1,0,0.5424,0
1,1,0,0.0737,0
1,2,0,0.4706,0
1,0,0,0.25,0
1,0,0,0.1109,0
1,1,2,0.1647,0
3,1,0,0.4899,1
0,0,0,0.1543,0
2,1,0,0.05,0
0,0,0,0.0831,0
1,1,0,0.0731,0
0,1,1,0.8139,1
1,0,1,0.278,0
3,0,0,0.3307,0
1,2,0,0.178,1
4,0,0,0.0576,0
1,1,0,0.2487,0
1,0,0,0.1342,0
0,0,0,0.0591,0
1,0,0,0.0192,0
2,5,1,0.5123,1
1,0,0,0.1395,0
1,7,3,0.7864,1
4,0,1,0.1098,0
2,0,0,0.2049,0
4,0,0,0.3056,0
1,0,1,0.55,0
1,0,1,0.5067,0
3,2,2,0.3865,1
1,2,1,0.35,0
0,0,0,0.0199,0
3,2,2,0.2646,0
1,4,3,0.3178,1
3,0,1,0.293,1
2,2,4,0.85,1
0,0,0,0.036,0
3,1,1,0.7233,1
1,6,3,0.7059,1
0,0,0,0.0952,0
1,3,3,0.25,1
1,3,4,0.9168,1
3,0,0,0.2099,0
0,4,2,0.813,1
1,0,1,0.219,0
0,2,1,0.3765,0
1,0,0,0.1079,0
3,0,0,0.111,0
0,0,0,0.0498,0
0,0,0,0.0995,0
0,0,0,0.0423,0
2,1,1,0.1797,0
1,0,1,0.25,0
0,0,0,0.1801,0
0,0,0,0.1014,0
3,3,0,0.3054,1
0,0,0,0.0705,0
4,1,0,0.1654,0
4,0,1,0.212,0
0,0,0,0.1274,0
2,1,1,0.6004,1
1,0,0,0.3792,0
3,3,2,0.25,1
2,4,0,0.479,1
1,0,0,0.1116,0
0,5,3,0.5,1
1,4,2,0.6126,1
1,1,2,0.7656,1
1,2,3,0.7405,1
1,0,0,0.289,0
1,0,0,0.3636,0
0,3,1,0.6917,1
0,0,0,0.1044,0
2,0,0,0.1779,0
2,2,0,0.6379,1
1,5,4,0.7998,1
2,5,2,0.6982,1
1,1,1,0.819,0
1,2,3,0.4702,1
1,0,0,0.0699,0
2,4,2,0.6574,1
2,0,1,0.1264,1
2,1,2,0.3273,0
0,3,3,0.7202,1
0,9,5,0.9447,1
0,1,0,0.3482,0
1,0,0,0.05,0
0,0,0,0.0728,0
2,5,3,0.7981,1
1,0,0,0.0502,0
0,2,2,0.5006,1
0,0,0,0.4706,0
0,0,0,0.0515,0
3,0,1,0.05,0
0,4,2,0.8475,1
1,0,0,0.2154,0
0,0,0,0.108,0
1,1,2,0.5089,1
4,0,0,0.2952,0
1,7,3,0.7071,1
1,0,0,0.3203,0
1,2,2,0.7291,1
2,0,0,0.0632,0
0,0,0,0.21,0
1,2,0,0.4547,0
2,0,0,0.3233,0
0,3,2,0.8752,1
3,1,0,0.2114,0
0,0,0,0.25,0
1,1,1,0.4908,0
1,3,0,0.3445,0
1,0,0,0.2196,0
2,0,0,0.2917,1
1,0,0,0.3229,0
1,0,0,0.276,0
1,0,1,0.05,0
2,2,1,0.1729,0
1,6,2,0.8165,1
1,1,2,0.6755,1
0,1,0,0.4659,0
0,2,0,0.5309,1
0,2,2,0.7689,1
3,0,0,0.05,0
4,0,0,0.2166,0
0,4,3,0.8532,1
1,0,0,0.25,0
1,4,1,0.2608,1
1,3,1,0.4588,0
1,3,2,0.7121,1
1,1,2,0.2936,0
2,0,1,0.0777,0
0,4,3,0.398,1
0,0,0,0.3735,0
0,0,0,0.0153,0
3,1,4,0.8175,1
1,1,0,0.1055,0
0,0,0,0.2909,0
1,1,0,0.051,0
2,2,1,0.4988,1
2,1,0,0.487,1
2,1,0,0.1406,0
4,0,0,0.18,0
1,4,1,0.8052,1
1,0,0,0.0996,0
0,0,0,0.4133,0
0,0,0,0.2011,0
4,4,2,0.4003,1
0,0,0,0.0905,0
0,0,0,0.0416,0
0,0,0,0.1404,0
0,0,0,0.2486,0
0,5,3,0.9104,1
4,3,1,0.3178,0
2,2,2,0.4525,1
3,1,1,0.2609,0
1,0,0,0.04,0
2,2,0,0.2997,0
2,0,0,0.0749,0
1,0,0,0.2885,0
0,1,0,0.2703,0
2,7,2,0.6637,1
3,0,0,0.2957,1
2,0,1,0.1925,0
0,9,6,0.8763,1
1,0,0,0.1469,0
3,5,2,0.6523,1
0,1,0,0.0189,0
1,0,0,0.238,0
1,0,0,0.1078,0
5,0,1,0.3504,1
0,0,0,0.1244,0
0,0,0,0.0186,0
0,1,0,0.247,0
1,5,5,0.6367,1
0,5,5,0.8472,1
0,0,0,0.0314,0
1,3,0,0.1518,1
3,2,2,0.5011,1
0,1,1,0.3329,0
4,0,0,0.3228,0
2,0,1,0.2803,0
0,5,5,0.8567,1
1,5,5,0.9783,1
2,1,2,0.3589,0
3,0,0,0.3655,0
0,1,0,0.25,0
0,0,0,0.1823,0
2,2,1,0.7105,1
0,0,0,0.0839,0
1,2,0,0.2733,1
1,2,0,0.268,0
0,0,0,0.1094,0
3,0,0,0.1112,0
0,0,0,0.1402,0
3,1,1,0.1252,0
2,0,0,0.0758,0
1,1,0,0.2531,1
1,0,1,0.2906,0
1,3,2,0.5498,1
0,3,3,0.6188,1
3,4,4,0.7826,1
0,7,6,0.8689,1
0,0,0,0.2206,0
1,4,5,0.889,1
1,1,1,0.23,0
1,0,1,0.351,0
0,4,4,0.8497,1
1,2,0,0.3759,0
2,1,0,0.2862,0
0,0,0,0.1834,1
0,0,0,0.0236,0
0,5,5,0.8971,1
0,1,0,0.25,0
3,2,1,0.2674,0
1,0,0,0.1951,0
0,4,3,0.9551,1
1,2,3,0.2592,1
0,0,0,0.1755,0
0,1,0,0.1961,0
0,1,0,0.4218,0
2,0,0,0.1246,0
0,0,0,0.0342,0
3,4,5,0.8355,1
0,7,5,0.8358,1
0,1,1,0.73,0
0,4,2,0.7617,1
1,0,1,0.1576,0
1,4,5,0.776,1
0,0,0,0.0795,0
1,5,4,0.8844,1
4,0,0,0.1336,0
2,3,1,0.0838,0
1,1,0,0.3312,0
2,0,0,0.267,1
1,3,1,0.5886,1
2,0,0,0.05,0
3,0,0,0.3276,0
0,6,2,0.7332,1
1,0,1,0.0646,0
6,2,0,0.1282,1
2,4,0,0.2513,0
4,1,1,0.14,1
0,0,0,0.1866,0
0,2,2,0.7687,1
0,6,3,0.7771,1
1,5,3,0.8034,1
2,7,3,0.4903,1
4,0,1,0.133,0
3,1,2,0.5953,1
5,0,1,0.218,0
0,4,3,0.8929,1
2,1,0,0.1222,0
1,6,3,0.6607,1
1,2,3,0.4857,1
0,0,0,0.25,0
0,0,0,0.25,0
2,1,0,0.6223,1
0,3,3,0.5148,1
1,0,0,0.161,0
1,3,1,0.4038,0
2,2,0,0.5204,0
4,1,2,0.6882,1
1,0,1,0.3599,0
3,0,0,0.1842,0
3,6,3,0.5874,1
5,0,0,0.05,0
1,4,4,0.6262,1
3,0,0,0.2041,0
2,0,0,0.1025,0
1,1,2,0.2621,1
4,0,1,0.2996,0
2,2,2,0.5426,0
1,3,1,0.4314,1
0,4,3,0.6627,1
3,1,1,0.1082,0
0,0,0,0.0203,0
1,2,3,0.4781,1
3,1,0,0.2396,1
4,2,0,0.25,0
0,2,1,0.4875,0
1,1,0,0.2229,0
3,3,2,0.3599,1
0,4,3,0.7066,1
1,0,0,0.2956,0
1,2,0,0.4261,1
1,3,4,0.7103,1
1,3,4,0.8427,1
3,7,1,0.5005,1
0,5,1,0.6669,1
2,1,0,0.4745,0
3,1,0,0.3812,0
1,0,0,0.1612,0
0,1,0,0.55,0
1,0,0,0.1691,0
1,5,1,0.2823,1
1,1,1,0.0063,0
3,3,2,0.5539,1
3,0,0,0.1799,0
0,0,0,0.0822,0
1,0,0,0.1682,0
2,3,2,0.6865,1
3,2,0,0.5075,1
0,1,1,0.2194,1
3,1,0,0.1991,1
1,1,0,0.1977,0
2,3,2,0.427,1
0,2,2,0.287,0
0,4,2,0.5597,1
1,1,1,0.1436,0
1,0,0,0.3035,0
2,1,0,0.4324,0
1,0,0,0.1805,0
1,0,0,0.1718,0
3,4,3,0.5124,1
0,0,0,0.1687,0
2,2,0,0.1253,0
2,2,2,0.1438,0
0,0,0,0.25,0
2,3,1,0.4396,0
3,2,0,0.5775,1
1,1,0,0.1583,0
2,4,5,0.8451,1
2,1,1,0.0945,0
0,0,0,0.1001,0
0,4,4,0.874,1
1,0,0,0.3731,0
2,5,6,0.857,1
0,0,0,0.0763,0
1,0,1,0.2376,0
4,0,0,0.1246,0
0,8,4,0.7561,1
7,1,1,0.05,0
1,0,1,0.1371,0
1,0,0,0.0407,0
0,1,0,0.2592,1
1,7,7,0.9506,1
0,1,0,0.25,0
0,0,0,0.297,1
0,3,3,0.9346,1
1,0,0,0.3275,0
1,0,0,0.0816,0
0,3,3,0.6585,1
2,0,0,0.0532,0
2,0,0,0.2308,1
0,0,0,0.3693,1
2,0,0,0.3848,0
0,9,2,0.7474,1
3,0,0,0.1501,0
0,0,0,0.25,0
1,6,1,0.6264,1
5,0,1,0.0712,0
3,1,0,0.3233,0
1,9,4,0.9089,1
0,1,0,0.1269,0
1,3,2,0.7177,1
0,2,2,0.7659,1
6,1,2,0.1626,0
0,3,2,0.3474,1
1,4,4,0.7176,1
4,3,1,0.3738,1
0,3,1,0.5508,0
2,0,0,0.1966,1
2,0,0,0.4465,0
2,5,0,0.3802,1
2,3,0,0.2583,0
2,0,0,0.1997,0
3,0,0,0.45,0
1,0,0,0.05,0
0,2,2,0.6528,1
2,0,0,0.1292,0
3,0,0,0.0423,0
1,0,0,0.232,0
1,1,1,0.2825,1
1,4,2,0.4359,1
2,0,0,0.2205,1
2,0,0,0.2188,0
1,0,0,0.1593,0
0,3,3,0.7434,1
3,2,0,0.5593,1
1,5,0,0.4719,1
3,0,0,0.3456,0
0,1,0,0.7031,1
4,2,0,0.103,0
0,0,0,0.0126,0
0,0,0,0.0434,0
2,2,0,0.3199,0
3,0,0,0.1717,0
1,3,2,0.6375,1
7,0,0,0.45,0
0,2,2,0.7829,1
2,5,2,0.25,1
0,0,0,0.1459,1
2,3,2,0.6477,1
0,2,0,0.4351,1
0,0,0,0.0311,0
2,0,0,0.1668,1
0,1,1,0.725,1
4,1,0,0.4151,1
1,1,0,0.033,0
4,0,1,0.3555,0
0,0,0,0.0799,0
0,1,0,0.2313,0
0,3,3,0.7073,1
3,3,2,0.7181,1
2,0,0,0.3295,0
4,1,1,0.3487,0
1,4,3,0.8481,1
2,7,0,0.8163,1
0,0,0,0.0285,0
0,1,1,0.7542,1
1,0,0,0.1564,0
1,5,2,0.7498,1
1,0,0,0.0249,0
0,3,3,0.521,1
0,0,0,0.174,0
1,2,1,0.7768,1
2,2,0,0.1256,1
1,4,2,0.6117,1
1,1,0,0.3179,0
1,1,1,0.1234,1
1,0,0,0.1112,0
1,4,4,0.5777,1
3,0,0,0.151,0
4,0,0,0.1227,0
2,0,0,0.0978,0
1,0,0,0.3207,1
0,0,0,0.1542,1
0,0,0,0.0873,0
2,1,3,0.7412,1
2,4,3,0.4479,1
0,6,5,0.7699,1
4,4,3,0.5137,1
2,4,4,0.6693,1
1,5,4,0.4612,1
2,5,2,0.8428,1
3,1,0,0.1576,0
2,1,0,0.0689,0
0,3,3,0.5575,1
3,1,0,0.3059,0
2,2,1,0.4741,0
1,0,1,0.45,0
1,0,1,0.1808,0
1,1,1,0.4806,1
3,6,1,0.3794,1
0,4,0,0.6285,1
1,2,0,0.3918,1
2,0,1,0.1321,0
1,2,1,0.2841,1
0,4,0,0.1578,0
1,1,2,0.5396,1
1,2,3,0.7492,1
2,3,2,0.523,1
0,0,0,0.2197,0
4,1,0,0.2003,0
4,1,0,0.1979,0
0,0,0,0.061,0
3,5,1,0.6888,1
2,0,0,0.423,0
1,5,3,0.745,1
0,2,2,0.9647,1
2,5,2,0.5564,1
0,0,0,0.25,0
0,0,0,0.1109,1
0,0,0,0.0546,0
1,1,2,0.2555,1
0,0,0,0.0382,0
0,0,0,0.0592,0
1,0,0,0.3208,1
1,2,2,0.2873,1
4,1,2,0.0529,0
0,0,0,0.0086,0
0,4,2,0.8869,1
1,1,1,0.21,0
1,2,0,0.3027,0
0,0,0,0.1994,0
1,0,0,0.113,0
0,1,1,0.4892,1
1,1,1,0.4757,0
3,3,3,0.9663,1
3,1,0,0.0794,0
2,0,0,0.1598,0
2,0,0,0.161,1
