Attendance_Rate,Unexcused_Absence_Count,Unexcused_Absence_Rate,Late_Count,Consecutive_Unexcused_Absences,Days_Since_Last_Attended,Assignment_Missing_Rate,Assignment_Late_Count,Average_Score,Score_Trend,Has_Overdue_Invoice,Days_Overdue,Class_Progress_Ratio,Is_Dropout
0.7745,2,0.1818,1,1,10,0.2673,1,6.25,-0.68,1,41,0.6711,0
0.5166,6,0.25,2,6,8,0.78,1,3.9,-1.2,0,0,0.597,1
0.8653,1,0.0625,0,1,4,0.1047,0,7.82,-0.0,0,0,0.3668,0
0.8754,2,0.0909,1,0,4,0.1085,0,8.71,-0.56,0,0,0.3507,0
0.9334,0,0.0,0,0,1,0.3372,0,6.92,-0.21,1,1,0.2629,0
0.9638,1,0.0385,0,0,3,0.22,0,8.55,-0.14,0,0,0.9614,0
0.9875,0,0.0,0,0,0,0.0257,0,7.73,0.41,0,0,0.7182,0
1.0,0,0.0,0,0,1,0.0805,0,8.48,-0.27,0,0,0.2122,0
0.8541,3,0.1304,0,3,14,0.03,0,6.03,-0.84,0,0,0.3751,0
1.0,0,0.0,0,0,3,0.1819,1,7.91,-0.63,0,0,0.3588,0
0.4262,6,0.3,3,3,14,0.734,3,4.84,-0.99,1,37,0.528,1
0.8155,3,0.1154,1,1,10,0.4433,0,7.73,-0.69,0,0,0.3365,1
0.9224,1,0.0588,0,0,0,0.1894,1,7.59,-0.74,0,0,0.6842,0
1.0,0,0.0,0,0,0,0.0542,1,9.63,-0.48,0,0,0.2577,0
0.6878,2,0.2222,0,1,2,0.4454,0,6.77,0.21,0,0,0.376,0
0.8145,3,0.125,0,1,19,0.1261,0,6.42,-0.62,0,0,0.6215,1
0.6935,5,0.2381,1,2,3,0.0722,0,7.23,-0.94,1,6,0.8746,1
0.4264,8,0.4211,0,2,4,0.6989,1,4.72,-1.64,0,0,0.5187,1
0.9348,1,0.0435,0,0,2,0.035,1,6.87,-0.22,0,0,0.5106,0
1.0,0,0.0,0,0,2,0.22,0,7.89,0.72,0,0,0.4068,0
0.9475,0,0.0,0,0,0,0.0179,0,6.9,0.12,0,0,0.2074,0
0.2287,17,0.68,6,13,4,0.6376,1,5.53,-2.26,0,0,0.3713,1
0.7059,5,0.1923,1,5,6,0.3199,0,5.49,-1.11,0,0,0.5546,1
0.887,1,0.0588,0,1,14,0.4314,2,6.95,-0.51,0,0,0.3822,0
0.7462,2,0.2,0,2,16,0.482,1,7.9,-1.83,1,45,0.8508,1
0.8807,1,0.0769,0,1,2,0.6687,2,3.56,-1.93,0,0,0.2778,1
0.6038,2,0.2,0,2,5,0.2721,2,6.77,-1.32,0,0,0.5972,1
0.5624,5,0.2381,1,3,13,0.7067,1,5.58,-1.78,0,0,0.3571,1
0.773,1,0.1429,1,0,9,0.3103,1,5.25,-1.13,0,0,0.222,0
0.7641,2,0.1818,2,0,20,0.2756,1,5.65,-0.69,0,0,0.5032,0
0.5212,7,0.3182,2,7,11,0.4638,1,4.56,-1.59,1,33,0.4675,1
0.7779,5,0.1724,2,1,5,0.2051,0,4.6,-0.82,1,29,0.4821,1
0.5739,10,0.3333,0,7,6,0.2721,0,6.48,-1.0,0,0,0.5126,1
0.943,1,0.0556,0,1,0,0.0638,0,7.83,-0.06,0,0,0.7718,0
0.8874,1,0.0435,0,0,3,0.1001,1,7.04,0.28,0,0,0.5142,0
0.9077,1,0.0667,0,1,3,0.0202,0,7.37,-0.06,0,0,0.2627,0
0.8675,1,0.0909,0,0,15,0.4726,1,6.34,-1.77,0,0,0.2289,0
0.6437,1,0.2,0,0,11,0.5068,1,8.69,-1.97,0,0,0.0923,0
0.4936,8,0.4211,2,1,19,0.9021,0,4.98,-1.39,1,37,0.4163,1
0.6575,4,0.1905,1,0,5,0.62,2,6.66,-0.38,0,0,0.4027,1
0.8126,2,0.1176,1,1,15,0.1331,0,5.69,0.35,0,0,0.9132,0
1.0,0,0.0,1,0,2,0.0703,0,8.9,0.31,0,0,0.7354,0
0.9114,1,0.0556,0,0,1,0.1288,0,7.17,-1.11,0,0,0.3369,0
0.7327,1,0.125,0,1,16,0.3787,0,7.19,-0.79,1,25,0.099,0
0.8932,1,0.0455,0,1,1,0.2196,1,7.27,1.09,1,22,0.4689,0
0.5855,10,0.3333,0,6,7,0.7633,3,6.46,-1.78,0,0,0.2619,1
0.527,9,0.3333,2,6,14,0.3582,1,4.43,-1.02,0,0,0.67,1
0.7263,6,0.2,0,4,7,0.203,1,6.33,0.48,0,0,0.3082,0
0.9248,1,0.0714,1,0,0,0.2231,0,7.76,-0.38,0,0,0.7504,0
0.8605,1,0.0909,1,1,8,0.0331,0,8.12,-0.56,0,0,0.6091,0
0.9364,1,0.0385,0,1,3,0.0088,0,7.89,0.31,0,0,0.65,0
0.9176,1,0.0833,0,1,1,0.0209,0,7.87,-0.15,1,36,0.8759,0
0.8968,3,0.1034,0,0,8,0.1304,0,7.51,-0.8,0,0,0.739,1
