Lead_Source,Occupation,Study_Purpose,Course_Interested,Last_Engagement_Status,Call_Attempt_Count,Days_Since_Created,Converted,_bin
tiktok,student_y1_y2,career_advancement,communication_english,positive_interaction,7,5.0,0,6+
google_ads,working_professional,career_advancement,communication_english,rejected,8,6.0,0,6+
website_organic,,career_advancement,communication_english,not_answering,5,13.0,0,4-5
tiktok,student_y1_y2,pass_exam,backend_nodejs,not_answering,2,1.0,0,2-3
facebook,student_y1_y2,pass_exam,toeic,interested_need_time,3,9.0,0,2-3
referral,student_y3_y4,career_advancement,communication_english,busy_call_back,3,17.0,0,2-3
tiktok,working_professional,career_advancement,communication_english,interested_need_time,1,1.0,1,1
tiktok,working_professional,pass_exam,communication_english,interested_need_time,5,5.0,1,4-5
facebook,working_professional,company_training,data_analysis,positive_interaction,4,4.0,0,4-5
google_ads,student_y3_y4,pass_exam,communication_english,not_answering,3,9.0,1,2-3
facebook,student_y1_y2,pass_exam,toeic,busy_call_back,2,14.0,0,2-3
referral,student_y3_y4,pass_exam,backend_nodejs,wrong_number,1,1.0,1,1
google_ads,student_y1_y2,pass_exam,toeic,busy_call_back,5,46.0,0,4-5
website_organic,working_professional,pass_exam,communication_english,interested_need_time,1,1.0,1,1
google_ads,student_y1_y2,hobby,communication_english,not_answering,1,12.0,0,1
facebook,student_y3_y4,study_abroad,communication_english,not_answering,3,5.0,1,2-3
google_ads,student_y3_y4,career_advancement,toeic,busy_call_back,4,4.0,1,4-5
facebook,,hobby,frontend,busy_call_back,1,0.0,0,1
website_organic,working_professional,hobby,data_analysis,positive_interaction,2,21.0,1,2-3
google_ads,student_y3_y4,study_abroad,ielts,interested_need_time,4,5.0,1,4-5
tiktok,parent_enrolling,pass_exam,kids_english,wrong_number,6,12.0,0,6+
facebook,unemployed,hobby,backend_nodejs,wrong_number,3,4.0,0,2-3
referral,unemployed,career_advancement,frontend,not_answering,4,1.0,0,4-5
website_organic,working_professional,company_training,toeic,not_answering,2,24.0,0,2-3
tiktok,working_professional,pass_exam,data_analysis,wrong_number,4,4.0,0,4-5
facebook,working_professional,career_advancement,communication_english,busy_call_back,3,8.0,1,2-3
google_ads,student_y3_y4,study_abroad,ielts,busy_call_back,5,11.0,0,4-5
facebook,student_y3_y4,career_advancement,toeic,not_answering,4,60.0,0,4-5
facebook,working_professional,career_advancement,toeic,positive_interaction,2,14.0,1,2-3
tiktok,student_y1_y2,career_advancement,backend_nodejs,not_answering,1,6.0,0,1
tiktok,student_y1_y2,hobby,toeic,not_answering,5,6.0,0,4-5
referral,unemployed,study_abroad,communication_english,interested_need_time,1,14.0,0,1
facebook,student_y1_y2,study_abroad,toeic,positive_interaction,4,0.0,1,4-5
facebook,student_y3_y4,pass_exam,backend_nodejs,not_answering,3,8.0,0,2-3
google_ads,working_professional,career_advancement,communication_english,positive_interaction,1,9.0,1,1
facebook,student_y1_y2,study_abroad,toeic,busy_call_back,4,3.0,0,4-5
facebook,unemployed,career_advancement,data_analysis,busy_call_back,3,16.0,1,2-3
google_ads,student_y1_y2,pass_exam,communication_english,busy_call_back,5,,0,4-5
facebook,unemployed,hobby,communication_english,not_answering,2,9.0,0,2-3
tiktok,working_professional,company_training,data_analysis,busy_call_back,1,,1,1
google_ads,student_y1_y2,study_abroad,ielts,wrong_number,1,,0,1
website_organic,student_y1_y2,pass_exam,backend_nodejs,not_answering,2,3.0,0,2-3
tiktok,student_y3_y4,study_abroad,communication_english,rejected,4,29.0,1,4-5
facebook,student_y3_y4,study_abroad,communication_english,not_answering,2,0.0,1,2-3
website_organic,student_y1_y2,pass_exam,toeic,busy_call_back,1,50.0,0,1
website_organic,parent_enrolling,study_abroad,kids_english,interested_need_time,8,0.0,0,6+
facebook,student_y1_y2,pass_exam,communication_english,positive_interaction,1,14.0,1,1
facebook,unemployed,study_abroad,backend_nodejs,not_answering,2,,0,2-3
tiktok,student_y1_y2,pass_exam,backend_nodejs,not_answering,5,14.0,0,4-5
facebook,parent_enrolling,pass_exam,kids_english,interested_need_time,4,1.0,1,4-5
facebook,student_y1_y2,hobby,communication_english,not_answering,2,16.0,0,2-3
facebook,student_y3_y4,hobby,ielts,interested_need_time,7,2.0,0,6+
tiktok,working_professional,company_training,communication_english,positive_interaction,3,5.0,1,2-3
tiktok,student_y1_y2,pass_exam,frontend,not_answering,1,13.0,0,1
tiktok,unemployed,study_abroad,communication_english,positive_interaction,1,11.0,1,1
tiktok,student_y3_y4,pass_exam,toeic,not_answering,6,7.0,0,6+
google_ads,student_y3_y4,pass_exam,ielts,wrong_number,2,1.0,1,2-3
google_ads,student_y3_y4,pass_exam,toeic,rejected,5,7.0,0,4-5
facebook,working_professional,pass_exam,data_analysis,positive_interaction,1,19.0,1,1
facebook,student_y1_y2,study_abroad,ielts,rejected,1,2.0,0,1
tiktok,student_y1_y2,pass_exam,toeic,positive_interaction,5,4.0,0,4-5
google_ads,student_y1_y2,pass_exam,toeic,not_answering,8,9.0,0,6+
google_ads,student_y3_y4,pass_exam,toeic,not_answering,1,0.0,1,1
tiktok,student_y1_y2,pass_exam,backend_nodejs,not_answering,1,11.0,0,1
google_ads,parent_enrolling,pass_exam,kids_english,busy_call_back,4,24.0,0,4-5
google_ads,student_y3_y4,hobby,toeic,interested_need_time,3,1.0,0,2-3
google_ads,working_professional,career_advancement,frontend,busy_call_back,2,3.0,0,2-3
facebook,,study_abroad,ielts,positive_interaction,1,0.0,1,1
facebook,student_y3_y4,career_advancement,communication_english,busy_call_back,6,0.0,0,6+
google_ads,student_y3_y4,pass_exam,toeic,not_answering,1,1.0,1,1
facebook,student_y3_y4,pass_exam,ielts,not_answering,2,2.0,0,2-3
google_ads,student_y3_y4,pass_exam,toeic,rejected,2,4.0,0,2-3
website_organic,student_y3_y4,study_abroad,toeic,busy_call_back,1,15.0,1,1
facebook,student_y3_y4,pass_exam,toeic,busy_call_back,3,0.0,0,2-3
facebook,parent_enrolling,pass_exam,kids_english,not_answering,2,41.0,1,2-3
facebook,student_y1_y2,study_abroad,communication_english,rejected,3,39.0,0,2-3
facebook,student_y3_y4,pass_exam,toeic,not_answering,2,3.0,1,2-3
tiktok,student_y1_y2,pass_exam,toeic,interested_need_time,1,8.0,1,1
google_ads,student_y3_y4,study_abroad,communication_english,not_answering,5,2.0,1,4-5
tiktok,,career_advancement,data_analysis,not_answering,3,23.0,0,2-3
tiktok,student_y1_y2,pass_exam,communication_english,positive_interaction,2,10.0,1,2-3
google_ads,working_professional,career_advancement,data_analysis,interested_need_time,1,1.0,0,1
website_organic,student_y3_y4,pass_exam,backend_nodejs,positive_interaction,3,,1,2-3
facebook,student_y1_y2,hobby,ielts,not_answering,4,,0,4-5
